SalesOrderNumber,Date,Customer,Territory,Country,Region,Product,Subcategory,Category,Cost,Quantity,Price,Tax
SO44387,11/04/2018,Andrés Anand,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,11,3374.99,270
SO44337,04/04/2018,Edwin Nara,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,4,3374.99,270
SO44356,07/04/2018,Adam Ross,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,7,3399.99,272
SO44412,16/04/2018,Latasha Navarro,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,16,3374.99,270
SO44475,29/04/2018,Abby Sai,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,29,3399.99,272
SO44408,15/04/2018,Cassie Chande,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO44589,04/05/2018,Edgar Sara,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,4,3399.99,272
SO44655,14/05/2018,Candace Fernandez,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,14,3399.99,272
SO44679,18/05/2018,Jessie Liu,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,18,3399.99,272
SO44574,01/05/2018,Bianca Lin,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,1,3374.99,270
SO44581,03/05/2018,Kari Alvarez,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,3,3374.99,270
SO44627,10/05/2018,Ruben Kapoor,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,10,3374.99,270
SO44575,01/05/2018,Curtis Yang,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,1,3399.99,272
SO44690,20/05/2018,Meredith Gutierrez,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,20,3399.99,272
SO44712,25/05/2018,Crystal Wang,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,25,3374.99,270
SO44601,06/05/2018,April Deng,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,6,3399.99,272
SO44657,14/05/2018,Beth Jiménez,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,14,3374.99,270
SO44595,05/05/2018,Ross Jordan,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,5,3399.99,272
SO44728,28/05/2018,Shaun Carson,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,28,3399.99,272
SO45382,06/08/2018,Julia Wright,North America,United States,Northwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,6,3578.27,286.26
SO44582,03/05/2018,Larry Townsend,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,3,3399.99,272
SO44650,13/05/2018,Ernest Wu,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,13,3374.99,270
SO44662,15/05/2018,Melinda Gill,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO45463,20/08/2018,Jonathan Hill,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,20,3578.27,286.26
SO45512,28/08/2018,Luis Wang,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,28,3578.27,286.26
SO45500,26/08/2018,Lawrence Blanco,North America,United States,Northwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,26,3578.27,286.26
SO45413,11/08/2018,Kristi Perez,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,11,3578.27,286.26
SO45441,15/08/2018,Jasmine Torres,North America,United States,Northwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,15,3578.27,286.26
SO45404,10/08/2018,Natalie Adams,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,10,3578.27,286.26
SO45387,07/08/2018,Tiffany Li,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,7,3578.27,286.26
SO45359,03/08/2018,Marshall Chavez,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,3,3578.27,286.26
SO45631,05/09/2018,Clarence Anand,Europe,Germany,Germany,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,5,3374.99,270
SO43729,06/01/2018,Mayra Prasad,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,6,3399.99,272
SO43788,19/01/2018,Latoya Goel,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,19,3374.99,270
SO44063,27/02/2018,Anne Hernandez,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,27,3399.99,272
SO44032,21/02/2018,Robin Alvarez,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,21,3399.99,272
SO43988,12/02/2018,Alexis Coleman,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,12,3399.99,272
SO45765,26/09/2018,Ricky Vazquez,Europe,Germany,Germany,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,26,3374.99,270
SO45840,03/10/2018,Latasha Rubio,Europe,Germany,Germany,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,3,3374.99,270
SO44016,18/02/2018,Claudia Zhou,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,18,3374.99,270
SO45872,09/10/2018,Cindy Patel,Europe,Germany,Germany,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,9,3399.99,272
SO44206,17/03/2018,Shannon Liu,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,17,3399.99,272
SO45434,14/08/2018,Nicholas Thompson,North America,United States,Southwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,14,3578.27,286.26
SO45485,24/08/2018,Jacqueline Powell,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,24,3578.27,286.26
SO45626,04/09/2018,Victoria Stewart,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,4,3578.27,286.26
SO45774,27/09/2018,Stephanie Collins,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,27,3578.27,286.26
SO45581,29/08/2018,Trinity Richardson,North America,United States,Northwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,29,3578.27,286.26
SO45657,10/09/2018,Taylor Howard,North America,United States,Northwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,10,3578.27,286.26
SO45706,17/09/2018,David Diaz,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,17,3578.27,286.26
SO45658,10/09/2018,Robert Lee,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,10,3578.27,286.26
SO45771,27/09/2018,Danielle Reed,North America,United States,Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2171.29,27,3578.27,286.26
SO45718,19/09/2018,Lauren Martinez,North America,United States,Southwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,19,3578.27,286.26
SO45583,29/08/2018,Kyle Foster,North America,United States,Northwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,29,3578.27,286.26
SO45588,30/08/2018,Jenny Rai,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,30,3578.27,286.26
SO45700,16/09/2018,Jonathan Phillips,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,16,3578.27,286.26
SO45678,13/09/2018,Megan Barnes,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,13,3578.27,286.26
SO45594,31/08/2018,Christian Thomas,North America,United States,Northwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,31,3578.27,286.26
SO45731,21/09/2018,Hunter Griffin,North America,United States,Southwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,21,3578.27,286.26
SO45646,08/09/2018,Maria Carter,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,8,3578.27,286.26
SO45723,20/09/2018,Katelyn Sanchez,North America,United States,Southwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,20,3578.27,286.26
SO45624,04/09/2018,Jenna Wright,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,4,3578.27,286.26
SO45695,15/09/2018,Seth Phillips,North America,United States,Southwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,15,3578.27,286.26
SO45759,25/09/2018,Taylor Lewis,North America,United States,Southwest,"Road-150 Red, 52",Road Bikes,Bikes,2171.29,25,3578.27,286.26
SO45603,01/09/2018,Haley Richardson,North America,United States,Northwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,1,3578.27,286.26
SO45766,26/09/2018,Noah Coleman,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,26,3578.27,286.26
SO45668,12/09/2018,Jon Luo,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,12,3578.27,286.26
SO45767,26/09/2018,Orlando Vazquez,North America,United States,Southwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,26,3578.27,286.26
SO45636,06/09/2018,Spencer Russell,North America,United States,Northwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,6,3578.27,286.26
SO45610,02/09/2018,Julia Coleman,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,2,3578.27,286.26
SO45625,04/09/2018,Hunter Rodriguez,North America,United States,Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2171.29,4,3578.27,286.26
SO45604,01/09/2018,Victoria Russell,North America,United States,Northwest,"Road-150 Red, 56",Road Bikes,Bikes,2171.29,1,3578.27,286.26
SO45649,09/09/2018,Jade Bailey,North America,United States,Southwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,9,3578.27,286.26
SO45655,10/09/2018,Jose Patterson,North America,United States,Southwest,"Road-150 Red, 48",Road Bikes,Bikes,2171.29,10,3578.27,286.26
SO45768,26/09/2018,Zachary Anderson,North America,United States,Southwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,26,3578.27,286.26
SO45717,19/09/2018,Elijah Ross,North America,United States,Northwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,19,3578.27,286.26
SO45696,15/09/2018,Rafael Xie,North America,United States,Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2171.29,15,3578.27,286.26
SO45769,26/09/2018,Jaime Moreno,North America,United States,Southwest,"Road-150 Red, 56",Road Bikes,Bikes,2171.29,26,3578.27,286.26
SO45760,25/09/2018,Andy Alvarez,North America,United States,Southwest,"Road-150 Red, 44",Road Bikes,Bikes,2171.29,25,3578.27,286.26
SO45917,15/10/2018,Deanna Ramos,Europe,Germany,Germany,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,15,3399.99,272
SO44228,21/03/2018,Emily Miller,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,21,3399.99,272
SO44152,04/03/2018,Nicole Brown,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,4,3399.99,272
SO45971,23/10/2018,Carla Raman,Europe,Germany,Germany,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,23,3399.99,272
SO44177,09/03/2018,Jerome Romero,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,9,3374.99,270
SO45890,11/10/2018,Frank Navarro,Europe,Germany,Germany,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,11,3374.99,270
SO44382,11/04/2018,Randy Zeng,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,11,3399.99,272
SO44333,04/04/2018,Arthur Carlson,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,4,3399.99,272
SO44645,13/05/2018,Jessie Jimenez,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,13,3399.99,272
SO44889,12/06/2018,Anne Ramos,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,12,3374.99,270
SO44899,12/06/2018,Carrie Ortega,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,12,3374.99,270
SO44628,10/05/2018,Terrence Carson,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,10,3374.99,270
SO44946,18/06/2018,Ramon Ye,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,18,3374.99,270
SO45021,28/06/2018,Cynthia Malhotra,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,28,3374.99,270
SO44904,13/06/2018,Jarrod Prasad,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,13,3374.99,270
SO45015,27/06/2018,Tyrone Serrano,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,27,3399.99,272
SO44871,08/06/2018,Julian Ross,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,8,3399.99,272
SO44864,07/06/2018,Jennifer Collins,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,7,3374.99,270
SO44807,31/05/2018,Brittney Sun,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,31,3374.99,270
SO44993,24/06/2018,Edward Miller,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,24,3374.99,270
SO44865,07/06/2018,Wendy Romero,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,7,3374.99,270
SO45891,11/10/2018,Mitchell Kumar,Europe,Germany,Germany,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,11,3399.99,272
SO44890,12/06/2018,Meredith Raman,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,12,3399.99,272
SO45229,26/07/2018,Megan Ramirez,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,26,3374.99,270
SO45087,03/07/2018,Joseph Martin,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,3,3374.99,270
SO45095,04/07/2018,George McDonald,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,4,3399.99,272
SO46229,14/11/2018,Beth Gutierrez,Europe,Germany,Germany,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,14,3399.99,272
SO45088,03/07/2018,Colin Nath,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,3,3399.99,272
SO45159,15/07/2018,Franklin Raji,Europe,United Kingdom,United Kingdom,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO46160,05/11/2018,Sydney Bryant,Europe,Germany,Germany,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,5,3374.99,270
SO45402,10/08/2018,Megan Stewart,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,10,3399.99,272
SO45428,13/08/2018,Ian Richardson,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,13,3399.99,272
SO46146,03/11/2018,Amy Sun,Europe,Germany,Germany,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,3,3399.99,272
SO45467,22/08/2018,Dustin Deng,Europe,United Kingdom,United Kingdom,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,22,3399.99,272
SO46463,10/12/2018,Jasmine Stewart,Europe,Germany,Germany,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,10,3374.99,270
SO46537,20/12/2018,Desiree Dominguez,Europe,Germany,Germany,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,20,3399.99,272
SO46429,05/12/2018,Deanna Perez,Europe,Germany,Germany,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,5,3399.99,272
SO46542,21/12/2018,Bryant Garcia,Europe,Germany,Germany,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,21,3399.99,272
SO44866,07/06/2018,Grace Griffin,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,7,3374.99,270
SO44815,01/06/2018,Tina Mehta,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,1,3374.99,270
SO44847,06/06/2018,Kari Kim,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,6,3399.99,272
SO44947,18/06/2018,Bethany Chander,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,18,3399.99,272
SO45022,28/06/2018,Jennifer Roberts,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,28,3374.99,270
SO44927,16/06/2018,Kyle Patterson,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,16,3374.99,270
SO44956,19/06/2018,Alvin Hu,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,19,3374.99,270
SO45030,29/06/2018,Brett Mehta,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,29,3374.99,270
SO45248,29/07/2018,Ruben Muñoz,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,29,3399.99,272
SO45138,11/07/2018,Erika Rubio,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,11,3374.99,270
SO45164,15/07/2018,Stanley Malhotra,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO45264,31/07/2018,Melinda Navarro,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,31,3374.99,270
SO45082,01/07/2018,Ross Sanz,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,1,3374.99,270
SO45178,17/07/2018,Jon Gao,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,17,3399.99,272
SO45179,17/07/2018,Jaime Gutierrez,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,17,3374.99,270
SO45238,27/07/2018,Tasha Deng,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,27,3399.99,272
SO45204,21/07/2018,Melvin Chande,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,21,3399.99,272
